segment_id,seek,start,end,text,tokens,temperature,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,0.0,6.0, Let me begin this evening by expressing my gratitude to the American people for your,"[50364, 961, 385, 1841, 341, 5634, 538, 22171, 452, 16935, 281, 264, 2665, 561, 337, 428, 50664]",0.0,-0.24782998859882355,1.4808743000030518,0.02508009597659111,0.06666666666666667,0.0,0.06666666666666667,0.0,0.809,0.191,0.5106
1,0,6.0,19.84000015258789, outpouring of love and support following the assassination attempt at my rally on Saturday.,"[50664, 484, 79, 40510, 295, 959, 293, 1406, 3480, 264, 40195, 5217, 412, 452, 17584, 322, 8803, 13, 51356]",0.0,-0.24782998859882355,1.4808743000030518,0.02508009597659111,0.14285714285714285,0.0,0.14285714285714285,0.179,0.505,0.317,0.4588
2,0,19.84000015258789,25.719999313354492," As you already know, the assassin's bullet came within a quarter of an inch of taking","[51356, 1018, 291, 1217, 458, 11, 264, 36294, 311, 11632, 1361, 1951, 257, 6555, 295, 364, 7227, 295, 1940, 51650]",0.0,-0.24782998859882355,1.4808743000030518,0.02508009597659111,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0,25.719999313354492,27.719999313354492, my life.,"[51650, 452, 993, 13, 51750]",0.0,-0.24782998859882355,1.4808743000030518,0.02508009597659111,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,2772,27.719999313354492,30.84000015258789," So many people have asked me, what happened?","[50364, 407, 867, 561, 362, 2351, 385, 11, 437, 2011, 30, 50520]",0.0,-0.22947151958942413,1.5392156839370728,0.03014783188700676,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,2772,30.84000015258789,33.279998779296875," Tell us what happened, please.","[50520, 5115, 505, 437, 2011, 11, 1767, 13, 50642]",0.0,-0.22947151958942413,1.5392156839370728,0.03014783188700676,0.0,0.0,0.0,0.0,0.635,0.365,0.3182
6,2772,33.279998779296875,38.47999954223633," And therefore, I will tell you exactly what happened, and you'll never hear it from me","[50642, 400, 4412, 11, 286, 486, 980, 291, 2293, 437, 2011, 11, 293, 291, 603, 1128, 1568, 309, 490, 385, 50902]",0.0,-0.22947151958942413,1.5392156839370728,0.03014783188700676,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,2772,38.47999954223633,45.86000061035156, a second time because it's actually too painful to tell.,"[50902, 257, 1150, 565, 570, 309, 311, 767, 886, 11697, 281, 980, 13, 51271]",0.0,-0.22947151958942413,1.5392156839370728,0.03014783188700676,0.0,0.1,-0.1,0.266,0.734,0.0,-0.4404
8,2772,45.86000061035156,54.459999084472656," It was a warm, beautiful day in the early evening in Butler Township in the great Commonwealth","[51271, 467, 390, 257, 4561, 11, 2238, 786, 294, 264, 2440, 5634, 294, 27571, 15954, 5278, 294, 264, 869, 35295, 51701]",0.0,-0.22947151958942413,1.5392156839370728,0.03014783188700676,0.11764705882352941,0.0,0.11764705882352941,0.0,0.568,0.432,0.872
9,5446,54.459999084472656,59.58000183105469, of Pennsylvania.,"[50364, 295, 17963, 13, 50620]",0.0,-0.26412078738212585,1.4970059394836426,0.21184048056602478,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,5446,59.58000183105469,65.68000030517578," Music was loudly playing, and the campaign was doing really well.","[50620, 7609, 390, 22958, 2433, 11, 293, 264, 5129, 390, 884, 534, 731, 13, 50925]",0.0,-0.26412078738212585,1.4970059394836426,0.21184048056602478,0.0,0.0,0.0,0.0,0.682,0.318,0.4927
11,5446,65.68000030517578,70.33999633789062," I went to the stage, and the crowd was cheering wildly.","[50925, 286, 1437, 281, 264, 3233, 11, 293, 264, 6919, 390, 11060, 34731, 13, 51158]",0.0,-0.26412078738212585,1.4970059394836426,0.21184048056602478,0.0,0.0,0.0,0.0,0.732,0.268,0.5106
12,5446,70.33999633789062,72.05999755859375, Everybody was happy.,"[51158, 7646, 390, 2055, 13, 51244]",0.0,-0.26412078738212585,1.4970059394836426,0.21184048056602478,0.0,0.0,0.0,0.0,0.351,0.649,0.5719
13,5446,72.05999755859375,82.41999816894531," I began speaking very strongly, powerfully, and happily because I was discussing the great","[51244, 286, 4283, 4124, 588, 10613, 11, 1347, 2277, 11, 293, 19909, 570, 286, 390, 10850, 264, 869, 51762]",0.0,-0.26412078738212585,1.4970059394836426,0.21184048056602478,0.14285714285714285,0.0,0.14285714285714285,0.0,0.471,0.529,0.8777
14,8242,82.41999816894531,87.33999633789062, job my administration did on immigration at the southern border.,"[50364, 1691, 452, 7236, 630, 322, 13554, 412, 264, 13456, 7838, 13, 50610]",0.0,-0.2359066605567932,1.453900694847107,0.000924914435017854,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,8242,87.33999633789062,95.18000030517578, We were very proud of it.,"[50610, 492, 645, 588, 4570, 295, 309, 13, 51002]",0.0,-0.2359066605567932,1.453900694847107,0.000924914435017854,0.16666666666666666,0.0,0.16666666666666666,0.0,0.596,0.404,0.5256
16,8242,95.18000030517578,104.13999938964844, Behind me and to the right was a large screen that was displaying a chart of border crossings,"[51002, 20475, 385, 293, 281, 264, 558, 390, 257, 2416, 2568, 300, 390, 36834, 257, 6927, 295, 7838, 3278, 1109, 51450]",0.0,-0.2359066605567932,1.453900694847107,0.000924914435017854,0.05555555555555555,0.0,0.05555555555555555,0.0,1.0,0.0,0.0
17,8242,104.13999938964844,106.58000183105469, under my leadership.,"[51450, 833, 452, 5848, 13, 51572]",0.0,-0.2359066605567932,1.453900694847107,0.000924914435017854,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,10658,106.58000183105469,110.9000015258789, The numbers were absolutely amazing.,"[50364, 440, 3547, 645, 3122, 2243, 13, 50580]",0.0,-0.2106262743473053,1.3974359035491943,0.1080874428153038,0.0,0.0,0.0,0.0,0.494,0.506,0.624
19,10658,110.9000015258789,124.05999755859375," In order to see the chart, I started to, like this, turn to my right and was ready to begin","[50580, 682, 1668, 281, 536, 264, 6927, 11, 286, 1409, 281, 11, 411, 341, 11, 1261, 281, 452, 558, 293, 390, 1919, 281, 1841, 51238]",0.0,-0.2106262743473053,1.3974359035491943,0.1080874428153038,0.15,0.0,0.15,0.0,0.773,0.227,0.6124
20,10658,124.05999755859375,131.24000549316406," a little bit further turn, which I'm very lucky I didn't do, when I heard a loud whizzing","[51238, 257, 707, 857, 3052, 1261, 11, 597, 286, 478, 588, 6356, 286, 994, 380, 360, 11, 562, 286, 2198, 257, 6588, 315, 8072, 278, 51597]",0.0,-0.2106262743473053,1.3974359035491943,0.1080874428153038,0.05555555555555555,0.05555555555555555,0.0,0.0,0.808,0.192,0.4754
21,13124,131.24000549316406,142.0," sound and felt something hit me really, really hard on my right ear.","[50364, 1626, 293, 2762, 746, 2045, 385, 534, 11, 534, 1152, 322, 452, 558, 1273, 13, 50902]",0.0,-0.24691902101039886,1.5029239654541016,0.5962355136871338,0.07692307692307693,0.07692307692307693,0.0,0.141,0.859,0.0,-0.2433
22,13124,142.0,146.72000122070312," I said to myself, wow, what was that?","[50902, 286, 848, 281, 2059, 11, 6076, 11, 437, 390, 300, 30, 51138]",0.0,-0.24691902101039886,1.5029239654541016,0.5962355136871338,0.0,0.0,0.0,0.0,0.612,0.388,0.5859
23,13124,146.72000122070312,153.67999267578125," It can only be a bullet, and moved my right hand to my ear, brought it down.","[51138, 467, 393, 787, 312, 257, 11632, 11, 293, 4259, 452, 558, 1011, 281, 452, 1273, 11, 3038, 309, 760, 13, 51486]",0.0,-0.24691902101039886,1.5029239654541016,0.5962355136871338,0.058823529411764705,0.0,0.058823529411764705,0.0,0.824,0.176,0.4939
24,13124,153.67999267578125,160.83999633789062," My hand was covered with blood, just absolutely blood all over the place.","[51486, 1222, 1011, 390, 5343, 365, 3390, 11, 445, 3122, 3390, 439, 670, 264, 1081, 13, 51844]",0.0,-0.24691902101039886,1.5029239654541016,0.5962355136871338,0.0,0.0,0.0,0.0,0.789,0.211,0.4939
25,16084,160.83999633789062,167.27999877929688," I immediately knew it was very serious, that we were under attack, and in one movement","[50364, 286, 4258, 2586, 309, 390, 588, 3156, 11, 300, 321, 645, 833, 2690, 11, 293, 294, 472, 3963, 50686]",0.0,-0.3070463538169861,1.443037986755371,0.06848683953285217,0.0,0.0,0.0,0.265,0.735,0.0,-0.5709
26,16084,167.27999877929688,171.9600067138672, proceeded to drop to the ground.,"[50686, 39053, 281, 3270, 281, 264, 2727, 13, 50920]",0.0,-0.3070463538169861,1.443037986755371,0.06848683953285217,0.0,0.0,0.0,0.296,0.704,0.0,-0.2732
27,16084,171.9600067138672,180.0800018310547," Bullets were continuing to fly as very brave Secret Service agents rushed to the stage,","[50920, 14131, 1385, 645, 9289, 281, 3603, 382, 588, 12653, 7400, 9561, 12554, 24421, 281, 264, 3233, 11, 51326]",0.0,-0.3070463538169861,1.443037986755371,0.06848683953285217,0.06666666666666667,0.0,0.06666666666666667,0.0,0.791,0.209,0.5709
28,16084,180.0800018310547,181.0800018310547, and they really did.,"[51326, 293, 436, 534, 630, 13, 51376]",0.0,-0.3070463538169861,1.443037986755371,0.06848683953285217,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,18108,181.0800018310547,192.47999572753906, They rushed to the stage.,"[50364, 814, 24421, 281, 264, 3233, 13, 50934]",0.0,-0.3150359094142914,1.448051929473877,0.16877104341983795,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,18108,192.47999572753906,200.47999572753906," These are great people at great risk, I will tell you, and pounced on top of me so that","[50934, 1981, 366, 869, 561, 412, 869, 3148, 11, 286, 486, 980, 291, 11, 293, 280, 37879, 322, 1192, 295, 385, 370, 300, 51334]",0.0,-0.3150359094142914,1.448051929473877,0.16877104341983795,0.15789473684210525,0.0,0.15789473684210525,0.08,0.536,0.383,0.836
31,18108,200.47999572753906,203.1199951171875, I would be protected.,"[51334, 286, 576, 312, 10594, 13, 51466]",0.0,-0.3150359094142914,1.448051929473877,0.16877104341983795,0.0,0.0,0.0,0.0,0.408,0.592,0.4404
32,18108,203.1199951171875,209.0399932861328," There was blood pouring everywhere, and yet, in a certain way, I felt very safe because","[51466, 821, 390, 3390, 20450, 5315, 11, 293, 1939, 11, 294, 257, 1629, 636, 11, 286, 2762, 588, 3273, 570, 51762]",0.0,-0.3150359094142914,1.448051929473877,0.16877104341983795,0.0625,0.0,0.0625,0.0,0.694,0.306,0.6478
33,20904,209.0399932861328,227.24000549316406," I had God on my side, I felt that.","[50364, 286, 632, 1265, 322, 452, 1252, 11, 286, 2762, 300, 13, 51274]",0.0,-0.30229759216308594,1.2400000095367432,0.18469658493995667,0.0,0.0,0.0,0.0,0.741,0.259,0.2732
34,20904,227.24000549316406,234.52000427246094," The amazing thing is that prior to the shot, if I had not moved my head at that very last","[51274, 440, 2243, 551, 307, 300, 4059, 281, 264, 3347, 11, 498, 286, 632, 406, 4259, 452, 1378, 412, 300, 588, 1036, 51638]",0.0,-0.30229759216308594,1.2400000095367432,0.18469658493995667,0.05,0.0,0.05,0.0,0.826,0.174,0.5859
35,23452,234.52000427246094,242.52000427246094," instant, the assassin's bullet would have perfectly hit its mark, and I would not be","[50364, 9836, 11, 264, 36294, 311, 11632, 576, 362, 6239, 2045, 1080, 1491, 11, 293, 286, 576, 406, 312, 50764]",0.0,-0.22789634764194489,1.552380919456482,0.7149717807769775,0.06666666666666667,0.0,0.06666666666666667,0.0,0.756,0.244,0.6369
36,23452,242.52000427246094,243.75999450683594, here tonight.,"[50764, 510, 4440, 13, 50826]",0.0,-0.22789634764194489,1.552380919456482,0.7149717807769775,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,23452,243.75999450683594,246.32000732421875, We would not be together.,"[50826, 492, 576, 406, 312, 1214, 13, 50954]",0.0,-0.22789634764194489,1.552380919456482,0.7149717807769775,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,23452,246.32000732421875,253.63999938964844, The most incredible aspect of what took place on that terrible evening in the fading sun,"[50954, 440, 881, 4651, 4171, 295, 437, 1890, 1081, 322, 300, 6237, 5634, 294, 264, 38644, 3295, 51320]",0.0,-0.22789634764194489,1.552380919456482,0.7149717807769775,0.0625,0.0625,0.0,0.171,0.829,0.0,-0.4767
39,23452,253.63999938964844,256.44000244140625, was actually seen later.,"[51320, 390, 767, 1612, 1780, 13, 51460]",0.0,-0.22789634764194489,1.552380919456482,0.7149717807769775,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,23452,256.44000244140625,263.6000061035156," In almost all cases, as you probably know, and when even a single bullet is fired, just","[51460, 682, 1920, 439, 3331, 11, 382, 291, 1391, 458, 11, 293, 562, 754, 257, 2167, 11632, 307, 11777, 11, 445, 51818]",0.0,-0.22789634764194489,1.552380919456482,0.7149717807769775,0.0,0.0,0.0,0.194,0.806,0.0,-0.5574
41,26360,263.67999267578125,270.760009765625," a single bullet, and we had many bullets that were being fired, crowds run for the exits","[50368, 257, 2167, 11632, 11, 293, 321, 632, 867, 20132, 300, 645, 885, 11777, 11, 26070, 1190, 337, 264, 44183, 50722]",0.0,-0.29446545243263245,1.4339622259140015,0.07693392038345337,0.0,0.0,0.0,0.194,0.806,0.0,-0.5574
42,26360,270.760009765625,273.7200012207031," or stampede, but not in this case.","[50722, 420, 9921, 4858, 11, 457, 406, 294, 341, 1389, 13, 50870]",0.0,-0.29446545243263245,1.4339622259140015,0.07693392038345337,0.0,0.0,0.0,0.241,0.759,0.0,-0.2263
43,26360,273.7200012207031,281.8800048828125, It was very unusual.,"[50870, 467, 390, 588, 10901, 13, 51278]",0.0,-0.29446545243263245,1.4339622259140015,0.07693392038345337,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,26360,281.8800048828125,289.0400085449219, This massive crowd of tens of thousands of people stood by and didn't move an inch.,"[51278, 639, 5994, 6919, 295, 10688, 295, 5383, 295, 561, 9371, 538, 293, 994, 380, 1286, 364, 7227, 13, 51636]",0.0,-0.29446545243263245,1.4339622259140015,0.07693392038345337,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,28904,289.0400085449219,294.3599853515625," In fact, many of them bravely but automatically stood up, looking for where the sniper would","[50364, 682, 1186, 11, 867, 295, 552, 12653, 356, 457, 6772, 9371, 493, 11, 1237, 337, 689, 264, 32441, 576, 50630]",0.0,-0.23011906445026398,1.5674418210983276,0.03461137413978577,0.0,0.0,0.0,0.0,0.875,0.125,0.2846
46,28904,294.3599853515625,295.3599853515625, be.,"[50630, 312, 13, 50680]",0.0,-0.23011906445026398,1.5674418210983276,0.03461137413978577,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,28904,295.3599853515625,299.8399963378906," They knew immediately it was a sniper, and then began pointing at him.","[50680, 814, 2586, 4258, 309, 390, 257, 32441, 11, 293, 550, 4283, 12166, 412, 796, 13, 50904]",0.0,-0.23011906445026398,1.5674418210983276,0.03461137413978577,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,28904,299.8399963378906,302.239990234375, You can see that if you look at the group behind me.,"[50904, 509, 393, 536, 300, 498, 291, 574, 412, 264, 1594, 2261, 385, 13, 51024]",0.0,-0.23011906445026398,1.5674418210983276,0.03461137413978577,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,28904,302.239990234375,307.32000732421875, That was just a small group compared to what was in front.,"[51024, 663, 390, 445, 257, 1359, 1594, 5347, 281, 437, 390, 294, 1868, 13, 51278]",0.0,-0.23011906445026398,1.5674418210983276,0.03461137413978577,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,28904,307.32000732421875,312.9200134277344," Nobody ran, and by not stampeding, many lives were saved.","[51278, 9297, 5872, 11, 293, 538, 406, 9921, 9794, 11, 867, 2909, 645, 6624, 13, 51558]",0.0,-0.23011906445026398,1.5674418210983276,0.03461137413978577,0.0,0.0,0.0,0.0,0.763,0.237,0.4215
51,31292,312.9200134277344,319.3999938964844, But that isn't the reason that they didn't move.,"[50364, 583, 300, 1943, 380, 264, 1778, 300, 436, 994, 380, 1286, 13, 50688]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,31292,319.3999938964844,323.5199890136719, The reason is that they knew I was in very serious trouble.,"[50688, 440, 1778, 307, 300, 436, 2586, 286, 390, 294, 588, 3156, 5253, 13, 50894]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.337,0.663,0.0,-0.5531
53,31292,323.5199890136719,324.5199890136719, They saw it.,"[50894, 814, 1866, 309, 13, 50944]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,31292,324.5199890136719,325.9800109863281, They saw me go down.,"[50944, 814, 1866, 385, 352, 760, 13, 51017]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,31292,325.9800109863281,334.20001220703125," They saw the blood and thought, actually most did, that I was dead.","[51017, 814, 1866, 264, 3390, 293, 1194, 11, 767, 881, 630, 11, 300, 286, 390, 3116, 13, 51428]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.281,0.719,0.0,-0.6486
56,31292,334.20001220703125,336.0400085449219, They knew it was a shot to the head.,"[51428, 814, 2586, 309, 390, 257, 3347, 281, 264, 1378, 13, 51520]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,31292,336.0400085449219,338.0400085449219, They saw the blood.,"[51520, 814, 1866, 264, 3390, 13, 51620]",0.0,-0.23649078607559204,1.7450979948043823,0.1943189799785614,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,33804,338.0400085449219,339.9599914550781, And there's an interesting statistic.,"[50364, 400, 456, 311, 364, 1880, 29588, 13, 50460]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.2,0.0,0.2,0.0,0.597,0.403,0.4019
59,33804,339.9599914550781,342.67999267578125, The ears are the bloodiest part.,"[50460, 440, 8798, 366, 264, 3390, 6495, 644, 13, 50596]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,33804,342.67999267578125,347.6400146484375," If something happens with the ears, they bleed more than any other part of the body.","[50596, 759, 746, 2314, 365, 264, 8798, 11, 436, 28385, 544, 813, 604, 661, 644, 295, 264, 1772, 13, 50844]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0625,-0.0625,0.0,1.0,0.0,0.0
61,33804,347.6400146484375,351.7200012207031," For whatever reason, the doctors told me that, and I said, why is there so much blood?","[50844, 1171, 2035, 1778, 11, 264, 8778, 1907, 385, 300, 11, 293, 286, 848, 11, 983, 307, 456, 370, 709, 3390, 30, 51048]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,33804,351.7200012207031,352.760009765625," He said, it's the ears.","[51048, 634, 848, 11, 309, 311, 264, 8798, 13, 51100]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,33804,352.760009765625,354.55999755859375, They bleed more.,"[51100, 814, 28385, 544, 13, 51190]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.3333333333333333,-0.3333333333333333,0.0,1.0,0.0,0.0
64,33804,354.55999755859375,362.9200134277344," So we learned something, but they just — they just — this beautiful crowd, they didn't","[51190, 407, 321, 3264, 746, 11, 457, 436, 445, 3466, 436, 445, 3466, 341, 2238, 6919, 11, 436, 994, 380, 51608]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0625,0.0,0.0625,0.0,0.669,0.331,0.8145
65,33804,362.9200134277344,363.9200134277344, want to leave me.,"[51608, 528, 281, 1856, 385, 13, 51658]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0,0.0,0.267,0.444,0.289,0.0258
66,33804,363.9200134277344,364.9200134277344, They knew I was in trouble.,"[51658, 814, 2586, 286, 390, 294, 5253, 13, 51708]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0,0.0,0.403,0.597,0.0,-0.4019
67,33804,364.9200134277344,365.9599914550781, They didn't want to leave me.,"[51708, 814, 994, 380, 528, 281, 1856, 385, 13, 51760]",0.0,-0.2650716006755829,1.7509727478027344,0.7601877450942993,0.0,0.0,0.0,0.192,0.628,0.18,-0.0191
68,36596,365.9599914550781,371.67999267578125, And you can see that love written all over their faces.,"[50364, 400, 291, 393, 536, 300, 959, 3720, 439, 670, 641, 8475, 13, 50650]",0.0,-0.34206563234329224,1.5147929191589355,0.6035639047622681,0.09090909090909091,0.0,0.09090909090909091,0.0,0.704,0.296,0.6369
69,36596,371.67999267578125,374.20001220703125, Incredible people.,"[50650, 35261, 561, 13, 50776]",0.0,-0.34206563234329224,1.5147929191589355,0.6035639047622681,0.5,0.0,0.5,0.0,1.0,0.0,0.0
70,36596,374.20001220703125,377.760009765625, They're incredible people.,"[50776, 814, 434, 4651, 561, 13, 50954]",0.0,-0.34206563234329224,1.5147929191589355,0.6035639047622681,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0
71,36596,377.760009765625,382.4800109863281," Bullets were flying over us, yet I felt serene.","[50954, 14131, 1385, 645, 7137, 670, 505, 11, 1939, 286, 2762, 816, 1450, 13, 51190]",0.0,-0.34206563234329224,1.5147929191589355,0.6035639047622681,0.0,0.0,0.0,0.0,0.7,0.3,0.4588
72,36596,382.4800109863281,386.44000244140625, But now the Secret Service agents were putting themselves in peril.,"[51190, 583, 586, 264, 7400, 9561, 12554, 645, 3372, 2969, 294, 46118, 13, 51388]",0.0,-0.34206563234329224,1.5147929191589355,0.6035639047622681,0.0,0.0,0.0,0.262,0.738,0.0,-0.5499
73,36596,386.44000244140625,389.9200134277344, They were in very dangerous territory.,"[51388, 814, 645, 294, 588, 5795, 11360, 13, 51562]",0.0,-0.34206563234329224,1.5147929191589355,0.6035639047622681,0.0,0.16666666666666666,-0.16666666666666666,0.404,0.596,0.0,-0.5256
74,38992,389.9200134277344,396.0799865722656," Bullets were flying right over them, missing them by a very small amount of inches.","[50364, 14131, 1385, 645, 7137, 558, 670, 552, 11, 5361, 552, 538, 257, 588, 1359, 2372, 295, 8478, 13, 50672]",0.0,-0.30279844999313354,1.398809552192688,0.2941158413887024,0.06666666666666667,0.0,0.06666666666666667,0.145,0.855,0.0,-0.296
75,38992,396.0799865722656,398.760009765625, And then it all stopped.,"[50672, 400, 550, 309, 439, 5936, 13, 50806]",0.0,-0.30279844999313354,1.398809552192688,0.2941158413887024,0.0,0.0,0.0,0.322,0.678,0.0,-0.2263
76,38992,398.760009765625,409.760009765625," Our Secret Service sniper, from a much greater distance and with only one bullet used, took","[50806, 2621, 7400, 9561, 32441, 11, 490, 257, 709, 5044, 4560, 293, 365, 787, 472, 11632, 1143, 11, 1890, 51356]",0.0,-0.30279844999313354,1.398809552192688,0.2941158413887024,0.0,0.0,0.0,0.0,0.848,0.152,0.3612
77,38992,409.760009765625,417.0799865722656," the assassin's life, took him out.","[51356, 264, 36294, 311, 993, 11, 1890, 796, 484, 13, 51722]",0.0,-0.30279844999313354,1.398809552192688,0.2941158413887024,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,41708,417.2200012207031,421.67999267578125, I'm not supposed to be here tonight.,"[50371, 286, 478, 406, 3442, 281, 220, 650, 510, 4440, 13, 50594]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,41708,421.67999267578125,424.0799865722656, Not supposed to be here.,"[50594, 1726, 3442, 281, 312, 510, 13, 50714]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,41708,424.0799865722656,427.0799865722656," Yes, you are.","[50714, 1079, 11, 291, 366, 13, 50864]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,0.426,0.574,0.4019
81,41708,427.0799865722656,430.0799865722656," Yes, you are.","[50864, 1079, 11, 291, 366, 13, 51014]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,0.426,0.574,0.4019
82,41708,430.0799865722656,433.0799865722656," Yes, you are.","[51014, 220, 6054, 11, 291, 594, 68, 13, 51164]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,0.426,0.574,0.4019
83,41708,433.0799865722656,436.0799865722656," Yes, you are.","[51164, 1079, 11, 291, 366, 13, 51314]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,0.426,0.574,0.4019
84,41708,436.0799865722656,439.0799865722656," Yes, you are.","[51314, 1079, 11, 291, 366, 13, 51464]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,0.426,0.574,0.4019
85,41708,439.0799865722656,442.0799865722656," Yes, you are.","[51464, 1079, 11, 291, 366, 13, 51614]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.0,0.0,0.0,0.0,0.426,0.574,0.4019
86,41708,442.0799865722656,445.0799865722656, Thank you.,"[51614, 1044, 291, 13, 51764]",0.6000000238418579,-0.44476813077926636,2.2608695030212402,0.12933413684368134,0.5,0.0,0.5,0.0,0.286,0.714,0.3612
87,44508,445.0799865722656,447.0799865722656, But I'm not.,"[50364, 583, 286, 478, 406, 13, 50464]",0.0,-0.24209223687648773,1.2352941036224365,0.023814287036657333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
